Address,Price,Parcel,Date
614 S Brooks St,200000,70923317238,2013-06-01
614 S Brooks St,267000,70923317238,2006-06-01
614 S Brooks St,216000,70923317238,2005-03-01
614 S Brooks St,172500,70923317238,2004-02-01
840 S Brooks St,255000,70926219093,2005-06-01
1007 Chandler St,241000,70923308013,2002-06-01
1027 Chandler St,389000,70923308047,2015-08-01
1130 Chandler St,366000,70922421080,2010-06-01
1203 Chandler St,250000,70922431013,2013-12-01
1207 Chandler St,235000,70922431021,2013-05-01
1209 Chandler St,268000,70922431039,2015-04-01
1209 Chandler St,275000,70922431039,2005-05-01
1209 Chandler St,225500,70922431039,2003-01-01
1212 Chandler St,261900,70922422161,2005-07-01
1312 Chandler St,259000,70922423193,2010-07-01
1312 Chandler St,272500,70922423193,2006-05-01
1317 Chandler St,246040,70922430065,2013-03-01
1320 Chandler St,272000,70922423169,2002-07-01
25 S Charter St,260000,70922414142,2016-12-01
301 S Charter St,420000,70922432102,2013-06-01
413 S Charter St,320000,70922433126,2015-07-01
1017 Drake St,247000,70923316032,2004-12-01
1304 Drake St,245000,70922434273,2016-07-01
1308 Eberhardt Ct,244900,70922438118,2006-02-01
810 Emerald St,351000,70923314052,2016-09-01
810 Emerald St,245000,70923314052,2003-01-01
925 Emerald St,228000,70923318054,2005-07-01
1015 Emerald St,287000,70923317030,2005-08-01
1116 Emerald St,268000,70922439314,2005-06-01
1121 Emerald St,162500,70922440056,2004-09-01
1124 Emerald St,246500,70922439299,2011-05-01
1125 Emerald St,177000,70922440072,2002-11-01
1110 Erin St,410000,70922440337,2017-05-01
1146 Erin St,258000,70922440246,2005-12-01
917 Haywood Dr,238500,70926217047,2013-12-01
917 Haywood Dr,218000,70926217047,2007-08-01
1005 Haywood Dr,250000,70926216148,2011-01-01
901 High St,220000,70926216164,2002-01-01
914 High St,220000,70926215091,2003-05-01
212 S Mills St,376500,70922421155,2017-04-01
212 S Mills St,267090,70922421155,2012-06-01
212 S Mills St,325000,70922421155,2007-09-01
216 S Mills St,245000,70922421147,2007-01-01
320 S Mills St,317400,70922432029,2006-06-01
414 S Mills St,249000,70922433035,2015-07-01
424 S Mills St,312500,70922433019,2015-11-01
615 S Mills St,330000,70923317113,2017-04-01
615 S Mills St,235400,70923317113,2004-05-01
825 S Mills St,215000,70926220032,2004-03-01
1114 Milton St,412500,70922414209,2016-09-01
1114 Milton St,368000,70922414209,2006-03-01
1114 Milton St,210000,70922414209,2003-02-01
1329 Milton St,287500,70922417097,2015-08-01
1225 Mound St,420000,70922422062,2016-04-01
1225 Mound St,366000,70922422062,2010-10-01
1229 Mound St,275000,70922422070,2003-10-01
1328 Mound St,290000,70922418095,2007-11-01
1333 Mound St,395000,70922423060,2015-12-01
1333 Mound St,315000,70922423060,2013-05-01
1335 Mound St,352000,70922423078,2014-08-01
1335 Mound St,349900,70922423078,2006-04-01
112 S Orchard St,269000,70922417013,2005-03-01
415 S Orchard St,277000,70922433259,2017-05-01
415 S Orchard St,224900,70922433259,2005-08-01
521 S Orchard St,350000,70922439190,2016-05-01
521 S Orchard St,330000,70922439190,2004-08-01
622 S Orchard St,259900,70922438324,2006-03-01
625 S Orchard St,287000,70922440204,2017-12-01
413 S Park St,310000,70923313038,2005-11-01
413 S Park St,310000,70923313038,2003-12-01
103 S Randall Ave,232000,70922417112,2008-04-01
1319 St James Ct,550000,70922418045,2003-06-01
1323 St James Ct,185000,70922418053,2008-05-01
1014 Vilas Ave,454000,70923308138,2016-07-01
1018 Vilas Ave,404500,70923308120,2015-07-01
1018 Vilas Ave,340000,70923308120,2006-07-01
1118 Vilas Ave,590500,70922432136,2007-03-01
1118 Vilas Ave,499900,70922432136,2003-11-01
1203 Vilas Ave,375000,70922433142,2007-08-01
1216 Vilas Ave,330000,70922431170,2004-12-01
512 Wingra St,225000,70922437136,2014-03-01
512 Wingra St,245000,70922437136,2007-08-01
512 Wingra St,219900,70922437136,2006-04-01
525 Wingra St,182000,70922438168,2003-03-01
525 Wingra St,207500,70922438168,2003-10-01
526 Wingra St,200000,70922437087,2005-09-01
205 N Frances St,303500,70923212131,2007-03-01
918 Regent St,460000,70923224079,2006-07-01
918 Regent St,400000,70923224079,2004-07-01
1013 Spring St,399500,70923219020,2007-12-01
143 N Butler St,340000,70913323039,2004-08-01
312 N Carroll St,432500,70914422187,2017-06-01
408 N Carroll St,279000,70914418227,2009-05-01
118 E Dayton St,165000,70914414192,2008-07-01
218 W Gilman St,370000,70914420313,2007-04-01
20 E Gorham St,250000,70914407155,2013-01-01
31 E Gorham St,305000,70914413011,2015-04-01
31 E Gorham St,272000,70914413011,2008-08-01
146 W Gorham St,520000,70914418144,2006-05-01
146 W Gorham St,589900,70914418144,2003-03-01
146 W Gorham St,452600,70914418144,2002-02-01
307 E Gorham St,232000,70914405026,2012-05-01
10 S Bassett St,257000,70923125045,2014-06-01
11 N Bassett St,394000,70923116250,2015-01-01
11 N Bassett St,370000,70923116250,2004-06-01
14 S Bassett St,304900,70923125037,2004-06-01
15 S Bassett St,342900,70923122215,2004-12-01
18 S Bassett St,441500,70923125029,2007-09-01
18 S Bassett St,424200,70923125029,2004-06-01
18 S Bassett St,429600,70923125029,2004-09-01
112 S Bassett St,289900,70923132032,2004-08-01
114 S Bassett St,252000,70923132024,2004-06-01
114 S Bassett St,192500,70923132024,2002-07-01
115 S Bassett St,230000,70923126209,2009-03-01
115 S Bassett St,247900,70923126209,2005-01-01
120 S Bassett St,200000,70923132016,2002-06-01
207 S Bassett St,217000,70923131191,2004-05-01
221 N Bassett St,310000,70923114171,2002-01-01
